College Name,Region,Region Type,Address,District,Website,Email address,Contact Number,TPO name,TPO contact number,Status,Autonomous Status
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Mumbai,Rural,"At - Ambav (Devrukh).Tal Sangameshwar,Dist.- Ratnagiri",Ratnagiri,www.rmcet.com,info@rmcet.com,269609,Padmanabh Shelar,269400,Un-Aided,Non-Autonomous
"Atharva College of Engineering,Malad(West),Mumbai",Mumbai,Urban,"S. No. 263, Plot No. 8-12, Malad-Marve Rd, Charkop Naka, Malad(W), Mumbai",Mumbai Suburban,www.atharvaeducation.com,ace@atharvaeducation.com,40294907,ANANDA  KANGANE,40294949,Un-Aided,Non-Autonomous
"Mahatma Education Society's Pillai College of Engineering, New Panvel",Mumbai,Urban,"Dr. K.M.Vasudevan Pillais' Campus Plot No. 10, Sector 16, New Panvel, Dist.Raigad",Raigad,www.pce.ac.in,principalpce@mes.ac.in,27451700,P. Kumaran,27456100,Un-Aided,Non-Autonomous
"Don Bosco Institute of Technology, Mumbai",Mumbai,Urban,"Premier Automobiles Road,Opp. Fiat Company, Kurla (West), Mumbai ",Mumbai Suburban,www.dbit.in,dbit@dbit.in,25040508,Mr. Rajendra Tatkare,25042018,Un-Aided,Non-Autonomous
"K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai",Mumbai,Urban,"Somaiya Auryvihar Complex,  Near Everard Nagar Eastern Express Highway, Sion (East), Mumbai",Mumbai Suburban,www.somaiya.edu/vidyavihar/kjsieit,principal.tech@somaiya.edu,24061401,Ankush Gaikwad,24080331,Un-Aided,Non-Autonomous
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Mumbai,Urban,"Sri. Chandrsekarendra Saraswathy Vidyapuram, Sector-5, Plot 1C&1E, Nerul Dist. Raigad ",Raigad,www.siesgst.edu.in,principalgst@sies.edu.in,61082404,V.Vijayalakshmi,61082400,Un-Aided,Non-Autonomous
"Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Mumbai,Rural,"At Asangaon, Tal Shahapur, Opp Railway station, Dist : Thane",Thane,www.jondhleengg.org,vjtsscoe@rediffmail.com,273999,KISHOR JONDHALE,273999,Un-Aided,Non-Autonomous
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Mumbai,Rural,"St. John Technical Education Complex, Village Vevoor,Manor Road  Palghar (E)",Palghar,www.sjcem.edu.in,office@sjcem.edu.in,0,MR. SATISH KUMAR TIWARI,297275,Un-Aided,Non-Autonomous
"Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of Engineering and Technology,  Sapgaon, Tal. Shahapur",Mumbai,Rural,"Sapgaon, Taluka Shahapur  Dist. Thane",Thane,www.armiet.com,registrar@armiet.com,40244310,Ankit Suresh Sanghavi,40244310,Un-Aided,Non-Autonomous
"Saraswati Education Society, Yadavrao Tasgaonkar College of Engineering and Management, Nasarapur, Chandai, Karjat",Mumbai,Rural,"Chandhai, Neral - Kadav Raod, Post Nasrapur, Taluka Karjat, Dist. Raigad",Raigad,www.tasgaonkartech.com,sesytcem@gmail.com,321524,vivek dadu sawant,321524,Un-Aided,Non-Autonomous
"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon",Mumbai,Rural,"Shirgaon, At. Post Virar, Tal. Vasai. Thane ",Palghar,www.viva-technology.org,principalvit@vivacollege.org,7770002544,Mr. Mahendra D. Kajare,7770002544,Un-Aided,Non-Autonomous
"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",Mumbai,Rural,"At Village Betegaon,Boisar Chillhar Road , Near Union Park,  Boisar(E), Tal: Palghar,",Palghar,www.theemcoe.org,info@theemcoe.org,284926,SHEETAL PATIL,284909,Un-Aided,Non-Autonomous
"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Mumbai,Urban," Pillai HOCL Educational
Campus, Rasayani, Tal. Khalapur. Dist. Raisad-",Raigad,www.mes.ac.in,pragneshshah@mes.ac.in,669001,Mr.Shirish Mayekar,669000,Un-Aided,Non-Autonomous
"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",Mumbai,Urban,"Shelu/Damat Village, (Opp. Shelu Rly Station), Tal. Karjat. Dist. Raigad",Raigad,www.leelaeducationsociety.org,principalgvaiet@yahoo.com,229628,Swapnil Bafana,229628,Un-Aided,Non-Autonomous
"Bharati Vidyapeeth's Institute of Technology, Navi Mumbai",Mumbai,Urban,"Belpada, C. B. D. SECTOR - 7, OPP. Kharghar Railway Station, Navi Mumbai.",Thane,www.iotmumbai.bharatividyapeeth.edu,bvitmumai@yahoo.com,27580126,Dilip Ganpat Mahadik,27572434,Un-Aided,Non-Autonomous
"Maratha Mandir's Babasaheb Gawade Institute of Technology, Mumbai",Mumbai,Urban,"Maratha Mandir annex,Babasaheb Gawade Chowk,  Mumbai , 400008",Mumbai City,www.mmbgit.org,ajit.parab@mmbgims.com,66044100,Yogesh Sawant,66044100,Un-Aided,Non-Autonomous
"Kala Vidyamandir Institute of Technology (Polytechnic), Malad(W), Mumbai",Mumbai,Urban,"MHADA World Bank project, Plot  No. M3, RSC,Gaekwad Nagar, Malad(W),Mumbai , 400095",Mumbai Suburban,www.kvmt.co.in,kvmitprinicipal@rediffmail.com,28440012,P.T.NALE,28440012,Un-Aided,Non-Autonomous
"Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg. & Technology, Bhayinder (E) Western Rly",Mumbai,Urban,"Navghar,Bhayander(E), Thane , 401105",Thane,www.prppolytechnic.com,info@prppolytechnic.com,28044871,MR. RAJESH BHOIR,28044871,Un-Aided,Non-Autonomous
"Saraswati Education Society,Saraswati Institute of Technology, Kharghar, Navi Mumbai",Mumbai,Rural,"Plot No.-46/46A, Behind M.S.E.B.Sub Station, Near Utsav Chowk, Sector-5, Kharghar Navi Mumbai Raigad , 410210",Raigad,www.siot.edu.in,ses.siot.os.09@gmail.com,27743706,Mr. Amar A. Shinde,27743705,Un-Aided,Non-Autonomous
"Bharat College of Engineering, Kanhor, Badlapur(W)",Mumbai,Rural,"Kanhor, Badlapur(w).,Tal- Ambernath. Dist. Thane ",Thane,www.bharatedu.co.in,info@bharatedu.co.in,7666615915,Mr. Satish Vishe,2665001,Un-Aided,Non-Autonomous
"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat,  Mumbai",Mumbai,Rural,"Village At.Mamdapur, Post- Neral, Tal- Karjat,  Dist.Raigadh",Raigad,www.driems.in,sumaneducationaltrust@gmail.com,651806,Mr. Jalindar Shinde,651806,Un-Aided,Non-Autonomous
"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai
",Mumbai,Urban,"Survey no. 267, Near Commisioner's Bungalow,Kanakiya Park,Mira Road (E)Thane",Thane,www.slrtce.in,slrtce@rahuleducation.com,28120145,hubale santosh,28120144,Un-Aided,Non-Autonomous
"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",Mumbai,Rural,"At.Karav, Post Vangani(w), Tal. Ambernath, Dist. Thane ",Thane,www.brharnetc.edu.in,jsiddhivinayakf@gmail.com,2910193,Shailesh,2910190,Un-Aided,Non-Autonomous
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Mumbai,Urban,"Plot No.2, 3 Sector - 16, Khandgaon, Thane Naka, Panvel Dist. Raigad ",Raigad,www.aiktc.org,aiktc.newpanvel@gmail.com,27481249,Dr. Jamil Daud,27481247,Un-Aided,Non-Autonomous
"G.M.Vedak Institute of Technology, Tala, Raigad.",Mumbai,Rural,"At Post Taluka. Tala, Dist. Raigad ",Raigad,www.gmvit.com,gmvedakit@gmail.com,269004,Prof. Satish Jadhav,269004,Un-Aided,Non-Autonomous
"Universal College of Engineering,Kaman Dist. Palghar",Mumbai,Rural,"Kaman Bhiwandi Road, S.N. 146(Part), Kaman, Vasai",Palghar,www.ucoe.edu.in,moses.lopes@universal.edu.in,2210044,Mr. Moses Lopes,69624580,Un-Aided,Non-Autonomous
"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",Mumbai,Rural,"At Post Velneshwar, Hedvai-Guhagar Road, Guhagar,Ratnagiri.",Ratnagiri,www.vpmmpcoe.org,info@vpmmpcoe.org,9527634958,Mr. Ravindra Rasal,243101,Un-Aided,Non-Autonomous
"Ideal Institute of Technology, Wada, Dist.Thane",Mumbai,Rural,"40, Pasheri Village, Pimplaj road, Taluka Wada, Dist.Thane. ",Palghar,www.idealwada.com,idealinstituteoftechnology13@gmail.com,212144,Mr. Jugal Mehra ,212144,Un-Aided,Non-Autonomous
"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",Mumbai,Rural,"Survey No. 52 Kumbhivali, On Mumbai-Pune Expressway, Near Khalapur Toll Naka ,Tal-Khalapur, Dist- Raigad",Raigad,www.vishwaniketan.edu.in,mail.vishwaniketan@gmail.com,274210,Mr. H. R. Mavkar,274206,Un-Aided,Non-Autonomous
"New Horizon Institute of Technology & Management, Thane",Mumbai,Urban,"Anand Nagar, Kavesar, Off. Ghodbunder Road, Thane(W)",Thane,www.nhitm.ac.in,principal@nhitm.ac.in,25971778,Mr. Rupesh Pethe,25971778,Un-Aided,Non-Autonomous
"Government College of Engineering, Chandrapur",Nagpur,Urban,"Ballarsha Bypass Road,Chandrapur ",Chandrapur,www.gcoec.ac.in,gcoechandrapur@gmail.com,230299,Smt. S. R. Bhagwat,230478,Government,Non-Autonomous
"Laxminarayan Institute of Technology, Nagpur",Nagpur,Urban,"L.I.T.Premises, Opposite Bharatnagar, Amravati Road, Nagpur",Nagpur,www.litnagpur.in,rajumankar@gmail.com,2531659,Dr. Vinayak Deshpande,2561107,University Department,Non-Autonomous
"Lady Amritbai Daga College for Women of Arts, Comm & Sci &  R.Purohit College of H.Sci & H. Sc. Technology, Nagpur",Nagpur,Urban,"Department of HMCT, L.A.D.  & Smt. R.P.College for Women,  Seminary hills, Shankar Nagar,Nagpur ",Nagpur,hmct.ladcollege.in/,lad_hmct@yahoo.com,2246623,Deepika Reddiwar,2512336,Government-Aided,Non-Autonomous
"Government Institute of Hotel Management & Catering Technology, Nagpur",Nagpur,Urban,"Govt. Polytechnic Campus, Nagpur , 440001",Nagpur,www.gihmctngp.org,principahmct_ngp@hotmail.com,2542725,V. D. Pohane,2544355,Government,Non-Autonomous
"Government College of Engineering, Nagpur",Nagpur,Urban,"Sector-27, Mihan Rehabilitation Colony, Khapari, Nagpur",Nagpur,www.gcoen.ac.in,office.gcoenagpur@dtemaharashtra.gov.in,202011,MR.N. H. BHUJADE,202012,Government,Non-Autonomous
"Shree Shivaji Education Society, Dr. Panjabrao Deshmukh Institute of Management Technology & Research, Nagpur",Nagpur,Urban,"Dept. of Dhanwate National College, Congress Nagar Opp. Ajni Rly Station  Nagpur , 440012",Nagpur,www.pdimtr.ac.in,pdimtrdnc@gmail.com,2522759,Ashok Chandan,2445356,Un-Aided,Non-Autonomous
"Kavi Kulguru Institute of Technology & Science, Ramtek",Nagpur,Rural,"K. K. Nagar, Ramtek, Nagpur - 441 106  ",Nagpur,www.kits.edu,principal@kits.edu,255047,Dr. B. Ram Rathan Lal,255309,Un-Aided,Non-Autonomous
"GES Department Of Management Technology N.M.D.PG College Of Arts, Commerce, Law & Management, Gondia ",Nagpur,Urban,"Ramnagar, Gondia   441614",Gondia,www.nmdcgmmba.co.in,dmtr.nmd@rediffmail.com,252634,ARVIND TONDTRE,252682,Un-Aided,Non-Autonomous
"Shri Ramdeobaba College of Engineering and Management, Nagpur",Nagpur,Urban,"Gittikhadan, Katola  Road, Nagpur",Nagpur,www.rknec.edu,deanadmissions@rknec.edu,2583239,Prof. Nikhil Shirish Damle,2580011,Un-Aided,Autonomous
"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",Nagpur,Urban,"C.R.P.F. Gate No.3, Digdoh Hills, Hingna Road, Nagpur ",Nagpur,www.ghrce.raisoni.net,principal.ghrce@raisoni.net,9881713575,Dr Sanjay Dorle,9604787184,Un-Aided,Autonomous
G.H. Raisoni Institute of Information Technology,Nagpur,Urban," 37-39/1, SHRADDHA PART, OFF HINGNA-WADI LINK ROAD, MIDC, NAGPUR, MAHARASHTRa 440028",Nagpur,ghriit.raisoni.net,ghriitnag@raisoni.net,236102,Mr. Sushil J. Jadhav,236102,Un-Aided,Non-Autonomous
"Bapurao Deshmukh College of Engineering, Sevagram",Nagpur,Rural,"P.O.Sevagram,Dist-Wardha",Wardha,www.bdce.edu.in,princi.bdces@gmail.com,284030,Mr.G.D.Dhawale,284378,Un-Aided,Non-Autonomous
"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur ",Nagpur,Rural,"Near CRPF Campus, Hingna Road, Nagpur ",Nagpur,www.pcenagpur.edu.in,mpsingh3712@rediffmail.com,244285,Mr. Vijay Athalye,244381,Un-Aided,Non-Autonomous
"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Nagpur,Urban,"Near Dighori Naka, Umrer Road, Bhadura, Nagpur",Nagpur,www.srpce.ac.in,admin@srpce.ac.in,663603,Mr. Satish Lanjewar,663603,Un-Aided,Non-Autonomous
"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Nagpur,Rural,"Khasara No-94,95&164/1,Mauza Dahegaon,Opposite IOC Prtrol Pump,Kalmeshwar, Nagpur",Nagpur,www.gniet.ac.in,gnietnagpur@gmail.com,661400,Mr. Shital V. Likhar,661400,Un-Aided,Non-Autonomous
"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering &  Technology, Nagpur",Nagpur,Rural,"Survey No. 148/149, Salai Godhani, Near Chikna Village, Hudakeshwar Road, Nagpur",Nagpur,www.gwcet.ac.in,gwcet@rediffmail.com,2742308,Mr. Pankaj Kohale,2742308,Un-Aided,Non-Autonomous
"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",Nagpur,Urban,"846, Nandanvan, Nagpur ",Nagpur,www.jlcce.ltjss.net,principaljlcce@gmail.com,2712490,Mrs.A.V.Kature,2711505,Un-Aided,Non-Autonomous
"Jaidev Education Society, J D College of Engineering and Management, Nagpur ",Nagpur,Rural,"At Khandala, Post Vaini Katol Road, Nagpur",Nagpur,www.jdcoem.ac.in,principal@jdcoem.ac.in,2682619,Dr Ujwala S Dange,2023003,Un-Aided,Non-Autonomous
"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",Nagpur,Urban,"Kh. No.72, 68/1, 68/2, 68/3, Lonara Dist. Nagpur",Nagpur,www.jit.org.in,admin@jit.org.in,2668235,Mr. SUMEET CHANDEGAVE,2668233,Un-Aided,Non-Autonomous
"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur",Nagpur,Rural,"MIDC, Near Facor, Higna Wadi Road, Nagpur ",Nagpur,www.ghrietn.raisoni.net,ghrietn@raisoni.net,234501,Prof. M.J. Katira,234501,Un-Aided,Non-Autonomous
"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Nagpur,Urban,"Sr. No.13/2, Mahurzari, Katol Road, Taluka & Dist Nagpur ",Nagpur,www.nit.edu.in,registrar@nit.edu.in,9881711787,Sandeep Kale,9881711787,Un-Aided,Non-Autonomous
"Wainganga College of Engineering and Management, Dongargaon, Nagpur",Nagpur,Urban,"Dongargoan, Near Gumgaon Railway Station, Post - Gumgaon, Wardha road, Nagpur",Nagpur,www.wcem.in,wcem4145@gmail.com,202007,Mr. R P Madankar,203728,Un-Aided,Non-Autonomous
"KDK College of Engineering, Umrer, Nagpur",Nagpur,Rural,"State Highway No.9, Opp. W. C. L., Umrer Project, Umrer, Nagpur",Nagpur,www.ucoe.org.in,dratulcwaghmare@rediffmail.com,247823,Mr. Ajay  Dhanvijay,247317,Un-Aided,Non-Autonomous
"K.D.K. College of Engineering, Nagpur",Nagpur,Urban," Great Nag Road, Nandanvan, Nagpur",Nagpur,www.kdkce.edu.in,kdkce4147@gmail.com,2711400,Anant B. Bute,2710030,Un-Aided,Non-Autonomous
"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur",Nagpur,Rural,"Kh. No. 8/1, Mohgaon,Wardha Road,Nagpur ",Nagpur,www.tgpcet.com,vidarbhabuss@yahoo.co.in,6648252,SANDEEP PALSODKAR,645410,Un-Aided,Non-Autonomous
Rajiv Gandhi College of Engineering Research & Technology  Chandrapur,Nagpur,Urban,Ballarpur Road Babupeth Dist. Chandrapur,Chandrapur,www.rcert.ac.in,principal@rcert.ac.in,225286, R. S. Chilbule,225168,Un-Aided,Non-Autonomous
"Gondia Education Society's Manoharbhai Patel Institute of Engineering and Technology, Gondia",Nagpur,Rural,"Kudwa,  Dist. Gondia ",Gondia,www.mietgondia.in,principal_miet@rediffmail.com,252158,Mr. W.N.Sahare,252033,Un-Aided,Non-Autonomous
"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",Nagpur,Rural,"Hingna Road, Wanadongri, Nagpur  441110",Nagpur,www.ycce.edu,principal@ycce.edu,329250,DR. P. K. DAKHOLE,242919,Un-Aided,Autonomous
"Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of Engineering and Technology, Nagpur",Nagpur,Urban,"Mouza Shivangaon , Khasara, 1/1A, 1909/12C, Near CRPF Campus, Hingna Road, Nagpur",Nagpur,www.piet.ltjss.net,viveknanoti@gmail.com,244470,Mr. Abhaykumar Das,244463,Un-Aided,Non-Autonomous
"Anjuman College of Engineering & Technology, Nagpur",Nagpur,Urban,"Mangalwari Bazar Road, Sadar, Nagpur",Nagpur,www.anjumanengg.edu.in,eng_acet@rediffmail.com,2583559,Aamir Siddiqui,6604502,Un-Aided,Non-Autonomous
"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",Nagpur,Rural,"Agnihotri College Campus, Bapujiwadi, Ramnagar, Wardha ",Wardha,www.sspace.ac.in,agisspace2007@gmail.com,232552,MR.GAJANAN DANDADE,250007,Un-Aided,Non-Autonomous
"Priyadarshini Bhagwati  College of Engineering, Harpur Nagar, Umred Road,Nagpur",Nagpur,Urban,"Harpur Nagar, Umrer Road, Nagpur",Nagpur,www.bcce.ltjss.net,principalpbcoe@gmail.com,2710281,Mr. V. D. Barapatre,2710282,Un-Aided,Non-Autonomous
"Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College of Engineering, Nagpur ",Nagpur,Rural,"Opp. Lata Mangeshkar Hospital, Hingana Road, Nagpur",Nagpur,www.pice.ltjss.net,pigce.principal@gmail.com,232545,Mr. Sachin Khedikar,232545,Un-Aided,Non-Autonomous
"KDKs Shrimati Rajashri Mulak College of Engineering for Womens, Nagpur",Nagpur,Urban,"KDK College Campus, Great Nag Road, Nandanvan, Nagpur ",Nagpur,www.srmcew.edu.in,principal_srmcew@yahoo.com,2716411,Mr. H V Sondawale,2714750,Un-Aided,Non-Autonomous
"Sarvasiddhanta Education Soc's Nuva College of Engineering and Technology, Nagpur",Nagpur,Rural,"146,149,150 & 153,Nagpur Katol Highway, Khapri(Kothe),Tal.Kalmeshwar, Nagpur",Nagpur,www.nuvaedu.com,infonuva@gmail.com,0,Abhijeeth Nair,661105,Un-Aided,Non-Autonomous
"Shree Bapuraoji Deshmukh Foundation, Suresh Deshmukh College of Engineering, Selukate, Wardha",Nagpur,Rural,"Selukate, Survey No. 161, Mauje Selu Kate, Dist. Wardha ",Wardha,www.sdce.edu.in,princi.sdces@gmail.com,282333,Mr. K.D. Fartade,282533,Un-Aided,Non-Autonomous
"Dr. Babasaheb Ambedkar College of Engineering and Research, Wanadongri, Nagpur",Nagpur,Rural,"Wanhadongri, Hingna Road, Nagpur ",Nagpur,www.svsscer.edu.in,svssngp@gmail.com,242406,Mrs.Lucky Chandekar,242406,Un-Aided,Non-Autonomous
"Sardar Patel Memorial Society's Namdevrao Poreddiwar College of Engineering and Technology, Gadchiroli",Nagpur,Rural,"At Mouza Boldi, Dhanopra Road, Tal & Dist. Gadchiroli",Gadchiroli,www.npcet.ac.in,principal.ncet@gmail.com,237862,Vinod Dhamange,237861,Un-Aided,Non-Autonomous
"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Badravati
",Nagpur,Rural,"Near Village Lonara, Nagpur Road, Badravati Dist. Chandrapur ",Chandrapur,www.sscet.in,mdyergude@yahoo.com,230723,MR.J.S. TRIPATI,230723,Un-Aided,Non-Autonomous
"Nav Disha Education Soc, Acharya Vinoba Bhave Institute of Technology ,Mauza-Pawnar,Wardha",Nagpur,Rural,"At Post Pavanar, Dist. Wardha",Wardha,www.abvit.org,avbit2008@rediffmail.com,93733950,Pradip umate,93733950,Un-Aided,Non-Autonomous
"Vidharbha Bahu uddeshiya Shikshan Sanstha's Abha Gaikwad – Patil College of Engineering, Nagpur",Nagpur,Urban,"Khasara No.8/1, Mohgaon, Wardha Road, Tal. & Dist. Nagpur",Nagpur,www.agpce.com,vidarbhabuss@yahoo.co.in,6648252,Liladhar Bawane,645412,Un-Aided,Non-Autonomous
"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Nagpur,Rural,"Dahegaon, Kalmeshwar Road, Nagpur",Nagpur,www.gniem.ac.in,gniemnagpur@gmail.com,2234333,Shri. Rajendra Khobe,661450,Un-Aided,Non-Autonomous
"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)
",Nagpur,Rural,"Nagthana Road, Near Bypass Highway Road, Sindhi (Meghe). Wardha ",Wardha,www.agnihotrigroup.org,ajayshelke.000@rediffmail.com,240527,Gajanan A. Dandade,250152,Un-Aided,Non-Autonomous
"Yugantar Education Society's Shri Balasaheb Tirpude College of Hotel Management & Catering Technology,Nagpur",Nagpur,Urban,"Shri Nasikraoji Tirpude Marg,Civil Lines ,Sadar, Nagpur",Nagpur,www.tirpudehmct.org,tirpudehmct@gmail.com,2550032,VINOD MESHRAM,2550695,Un-Aided,Non-Autonomous
"Jai Mahakali Shikshan Sanstha's Agnihotri School of Technology, Ramnagar, Wardha",Nagpur,Rural,"Ramnagar, Wardha , 442001",Wardha,www.astwardha.in,ast695@rediffmail.com,252888,Mr. Amol V. Nandedkar,252888,Un-Aided,Non-Autonomous
"Late Madhukarrao Deshmukh Education Soceity's Avdhoot Diploma College Of Engineering, Mouza, Bhojapur",Nagpur,Rural,"Mauza Bhojapur, P.H. No.115, Sur. No.6, Kuhi, Nagpur 400001",Nagpur,lmdes.org.in,avdootpoly@rediffmal.com,220021,Nitin Madhukarrao Deshmukh,220021,Un-Aided,Non-Autonomous
"Krushna Sahayogi Tantra Shikshan Sanstha, Chatrapati Shivaji Institute Of Technology, Deori, Gondia",Nagpur,Rural,"Shivaji Campus,At.Post.Th.Deori(Chichgadh Road) Gondia , 441901",Gondia,www.kstsscsit.org,kstsscsit@rediffmail.com,225631,Chittaranjan girhepuje,225631,Un-Aided,Non-Autonomous
"Sikh Education Society's Gurunanak Technical Institute of Pharmacy, Nagpur",Nagpur,Urban,"Mauza Nari, Near Dixit Nagar, Kh. No. 81/1, C.P. Foundry,Pili Nadi Nagpur , 440026",Nagpur,www.gntinagpur,gnti1983@yahoo.com,2242017,Harmindersingh Huda,2633854,Un-Aided,Non-Autonomous
" V M Institute of Engineering and Technology, Dongargaon, Nagpur",Nagpur,Rural,"Dhutte village , Near Dongargaon, Wardha Road, Nagpur",Nagpur,www.vmit.org.in,vmietnag@gmail.com,645689,Liladhar Bawane,6650243,Un-Aided,Non-Autonomous
"ITM College of Engineering, Nagpur",Nagpur,Rural,"Near Madhi Mandir, Ghorpad Road, Kamptee, Dist-Nagpur",Nagpur,www.itmnagpur.ac.in,prasadv@itmnagpur.ac.in,9881713211,P.R.Velankar,7109270273,Un-Aided,Non-Autonomous
"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara ",Nagpur,Urban,"N.H.6 Shahapur,Bhandara",Bhandara,www.mietbhandara.ac.in,principalmietb@rediffmail.com,7709967710,CHAKRADHAR KAHALKAR,9975591177,Un-Aided,Non-Autonomous
"Vidya Niketan Institute of Engineering and Technology, Nagpur",Nagpur,Urban,"At. Post : Gondkheri. Tah.: Kalmeshwar, Dist.: Nagpur",Nagpur,www.vniet.org,principal@vniet.org,277088,Prof. S. D. Ninawe,277088,Un-Aided,Non-Autonomous
"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",Nagpur,Rural,"Mouje Sukhali (Gupchup), Tal. Hingna  Dist. Nagpur",Nagpur,www.cumminscollege.edu.in,office@cumminscollege.edu.in,94230551,Mr. Pradeep  Joshi,96576670,Un-Aided,Non-Autonomous
"G.H.Raisoni Academy of Engineering & Technology, Nagpur",Nagpur,Urban,"Shraddha Park, Off Hingna-Wadi Link Road, Nagpur",Nagpur,www.ghraet.raisoni.net,ghraetnag@raisoni.net,237688,Prashant Awachat,237688,Un-Aided,Non-Autonomous
"Indian Instiutute of Fire Engineering, Nagpur",Nagpur,Urban,"Makardhokda Katol Road,Near VeerChakra Colony, Nagpur  440013",Nagpur,www.firecollegenagpur.in,fireinstitute96@gmail.com,2570733,milind chimurkar,2574129,Un-Aided,Non-Autonomous
"Maharashtra Shikshan Prasarak Mandals,Sommaya Diploma In Engineering, Wadgaon Dist Chandrapur",Nagpur,Urban,Wadgaon Dist Chandrapur   442402,Chandrapur,www.somayyapolytechnic.com,somayyamspm@gmail.com,271252,Rajesh.P.Bisan,271232,Un-Aided,Non-Autonomous
"Navneet Bahuuddeshya Sanstha, Kinkar Institute Of Technology,Seloo,Dist.Wardha",Nagpur,Rural,"Rehnki Road,Seloo,Dist.Wardha ",Wardha,www.kitseloo.org,principal.kit4612@gmail.com,220240,Mr.Dipak.Dhodre,220240,Un-Aided,Non-Autonomous
"Suryodaya College of Engineering & Technology, Nagpur
",Nagpur,Urban,"Survey No. 117/1 & 117/3 A, Vihirgaon, Nagpur ",Nagpur,www.scetngp.com,scetngp@gmail.com,276282,Mr. Manoj N. Guhe,276282,Un-Aided,Non-Autonomous
"Bajaj Institute of Technology, Wardha",Nagpur,Rural,"Arvi Road, in Front of Ramkrishna Bajaj Agriculture College, Pipri, Wardha ",Wardha,www.bit.shikshamandal.org,shikshamandal@gmail.com,9823382851,Mr. Parag Kombe,255770,Un-Aided,Non-Autonomous
"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon  ",Nashik,Urban,"P.B.No. 80, Umavinagar, Jalgaon",Jalgaon,www.nmu.ac.in,jbnaik@nmu.ac.in,2258181,Prof. S. A. Raut,2257441,University Department,Non-Autonomous
"Government College of Engineering, Jalgaon",Nashik,Rural,"Opp.Govt  I.T. I. National Highway No-6, Jalgaon ",Jalgaon,www.gcoej.ac.in,princoej@rediffmail.com,2281522,Smt. S A Patil,2281522,Government,Autonomous
"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",Nashik,Urban,"SSVP Sansthas B S Deore College of Engineering ,M.B.A.Department, Dhule",Dhule,www.ssvpsengg.ac.in,princi.ssvps@gmail.com,284300,Prof. Kunal S. Patil,272713,Un-Aided,Non-Autonomous
"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon ",Nashik,Rural,"Bambori, Dharangaon,  Jalgaon ",Jalgaon,www.sscoetjalgaon.ac.in,sscoetjal@gmail.com,2252989,Mr. Y.K. Chitte,2258393,Un-Aided,Non-Autonomous
